% Model:              B0-sweep_MappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 14:12
% Dimension:          2
% Nodes:              1421
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, z-coordinate
% Length unit:        mm
% r                       z                        ec.Jr (A/m^2)            v (m/s)                  z (mm)
0.1076166121542293        0.5                      19.468725254376523       -4.499816894474107E-5    0.5
0.10766273509938488       0.5                      19.459735327036014       -4.523971559107079E-5    0.5
0.10770908929343279       0.5                      19.45070063104083        -4.548176022343113E-5    0.5
0.10775544348748073       0.5                      19.44166608536483        -4.572380485579152E-5    0.5
0.10780203008984506       0.5                      19.43258636219764        -4.596634424104264E-5    0.5
0.10784861669220938       0.5                      19.423506797037987       -4.6208883626293794E-5   0.5
0.10789543686812712       0.5                      19.414381696463238       -4.645191447548814E-5    0.5
0.10794225704404486       0.5                      19.405256756592905       -4.669494532468252E-5    0.5
0.10798931196459532       0.5                      19.396085893096824       -4.6938464292609124E-5   0.5
0.10803636688514577       0.5                      19.386915196948507       -4.7181983260535785E-5   0.5
0.10808365772727974       0.5                      19.377698162750107       -4.742598694526248E-5    0.5
0.10813094856941369       0.5                      19.368481302524913       -4.7669990629989207E-5   0.5
0.10817847651598292       0.5                      19.359217745943056       -4.791447557240362E-5    0.5
0.10822600446255212       0.5                      19.34995434207144        -4.815896051481811E-5    0.5
0.10827377070233876       0.5                      19.340643872795113       -4.840392319816686E-5    0.5
0.10832153694212539       0.5                      19.33133355628388        -4.8648885881515645E-5   0.5
0.108369542669872         0.5                      19.32197572771588        -4.889432273094461E-5    0.5
0.10841754839761861       0.5                      19.31261806542733        -4.913975958037362E-5    0.5
0.1084657948140578        0.5                      19.30321253459215        -4.938566696246418E-5    0.5
0.10851404123049697       0.5                      19.293807109956163       -4.963157434455478E-5    0.5
0.10856252954238158       0.5                      19.284353430381998       -4.987794856686129E-5    0.5
0.10861101785426619       0.5                      19.27489989811653        -5.012432278916788E-5    0.5
0.10865974927439934       0.5                      19.265397635084128       -5.037116009975254E-5    0.5
0.10870848069453251       0.5                      19.255895555770223       -5.06179974103373E-5     0.49999999999999994
0.10875745644179807       0.5                      19.246344341115105       -5.086529399730552E-5    0.49999999999999994
0.10880643218906363       0.5                      19.23679328340654        -5.111259058427377E-5    0.5
0.10885565348845667       0.5                      19.22719269038123        -5.136034257530752E-5    0.5
0.10890487478784976       0.5                      19.217592243739205       -5.160809456634124E-5    0.5
0.10895434287050706       0.5                      19.207941799919126       -5.185629802823149E-5    0.5
0.1090038109531644        0.5                      19.198291544862286       -5.210450149012176E-5    0.5
0.10905352705639547       0.5                      19.18859087990927        -5.2353152428301486E-5   0.5
0.10910324315962655       0.5                      19.17889034600023        -5.2601803366481215E-5   0.5
0.10915320852694443       0.5                      19.169139000505083       -5.285089772455627E-5    0.5
0.10920317389426233       0.5                      19.159387817939546       -5.309999208263146E-5    0.5
0.10925338977541474       0.5                      19.149585334720996       -5.3349525741910964E-5   0.5
0.1093036056565671        0.5                      19.13978299088535        -5.3599059401190455E-5   0.5
0.10935407330756756       0.5                      19.129928941474418       -5.384902818021705E-5    0.5
0.109404540958568         0.5                      19.120075034653496       -5.40989969592437E-5     0.5
0.10945526164172745       0.5                      19.110168956880216       -5.434939661332312E-5    0.5
0.1095059823248869        0.5                      19.100263028294762       -5.459979626740257E-5    0.5
0.10955695730884524       0.5                      19.090304460845346       -5.485062248813259E-5    0.5
0.10960793229280356       0.5                      19.080346075382522       -5.510144870886264E-5    0.5
0.10965916285256133       0.5                      19.070334599484113       -5.535269712366165E-5    0.5
0.10971039341231908       0.5                      19.06032324739749        -5.560394553846071E-5    0.5
0.10976188082926924       0.5                      19.050258338796084       -5.58556117100953E-5     0.5
0.10981336824621937       0.5                      19.04019357139964        -5.610727788172985E-5    0.49999999999999994
0.10986511380817958       0.5                      19.0300747963945         -5.635935730784322E-5    0.5
