% Model:              Height_Sweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 22:47
% Dimension:          2
% Nodes:              28470
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        height                   ec.Jr (A/m^2)            v (m/s)                  height (mm)
0.1512603673139099        0.25                     5.0E-4                   19.070616680760622       -1.5595571629917814E-4   0.5
0.1515513545135982        0.25                     5.0E-4                   18.926345878723623       -1.5612161701220148E-4   0.5
0.1518423417132865        0.25                     5.0E-4                   18.782072257967343       -1.5628751772522493E-4   0.5
0.1521346219310974        0.25                     5.0E-4                   18.637888957988935       -1.564447011539475E-4    0.5
0.1524269021489083        0.25                     5.0E-4                   18.493702880876185       -1.5660188458267016E-4   0.5
0.15272048113044118       0.25                     5.0E-4                   18.349647458105437       -1.567504166201694E-4    0.5
0.15301406011197405       0.25                     5.0E-4                   18.205589299771077       -1.5689894865766874E-4   0.5
0.15330894362835917       0.25                     5.0E-4                   18.06170240941674        -1.5703889698453236E-4   0.5
0.1536038271447443        0.25                     5.0E-4                   17.917812827658054       -1.5717884531139608E-4   0.5
0.15390002099275618       0.25                     5.0E-4                   17.77413536630729        -1.5731027937642656E-4   0.5
0.154196214840768         0.25                     5.0E-4                   17.630455262122382       -1.5744171344145714E-4   0.5
0.1544937248429397        0.25                     5.0E-4                   17.4870283328612         -1.5756470444081345E-4   0.5
0.15479123484511137       0.25                     5.0E-4                   17.343598807754347       -1.5768769544016986E-4   0.5
0.15509006684984827       0.25                     5.0E-4                   17.200463674966386       -1.578023162949469E-4    0.5
0.15538889885458523       0.25                     5.0E-4                   17.057326001833417       -1.5791693714972406E-4   0.5
0.15568905873628092       0.25                     5.0E-4                   16.914524056429627       -1.5802326248197387E-4   0.5
0.1559892186179766        0.25                     5.0E-4                   16.77171962637283        -1.5812958781422377E-4   0.5
0.15629071227712757       0.25                     5.0E-4                   16.62929234207354        -1.5822769392142297E-4   0.5
0.15659220593627857       0.25                     5.0E-4                   16.486862631950316       -1.5832580002862225E-4   0.5
0.15689503929960058       0.25                     5.0E-4                   16.344851529186826       -1.584157648565938E-4    0.5
0.15719787266292257       0.25                     5.0E-4                   16.202838056845508       -1.585057296845654E-4    0.5
0.15750205168346704       0.25                     5.0E-4                   16.06128465243637        -1.5858763279886492E-4   0.5
0.15780623070401156       0.25                     5.0E-4                   15.919728943776363       -1.5866953591316452E-4   0.5
0.1581117613612827        0.25                     5.0E-4                   15.778674715892976       -1.5874345846894343E-4   0.5
0.1584172920185538        0.25                     5.0E-4                   15.637618246848433       -1.5881738102472236E-4   0.5
0.15872418031862603       0.25                     5.0E-4                   15.49710459241237        -1.5888340573508246E-4   0.5
0.15903106861869826       0.25                     5.0E-4                   15.356588761975104       -1.589494304454426E-4    0.5
0.1593393205943344        0.25                     5.0E-4                   15.216656945895465       -1.5900764154829942E-4   0.5
0.15964757256997048       0.25                     5.0E-4                   15.076723028831452       -1.5906585265115623E-4   0.5
0.15995719428074018       0.25                     5.0E-4                   14.937414157361673       -1.5911633587463081E-4   0.5
0.16026681599150988       0.25                     5.0E-4                   14.798103255519322       -1.591668190981054E-4    0.5
0.16057781352390893       0.25                     5.0E-4                   14.65945821647847        -1.5920966162446667E-4   0.5
0.16088881105630792       0.25                     5.0E-4                   14.52081122160962        -1.5925250415082794E-4   0.5
0.16120119052387766       0.25                     5.0E-4                   14.382870657170997       -1.5928779457901015E-4   0.5
0.1615135699914474        0.25                     5.0E-4                   14.244928209526279       -1.5932308500719237E-4   0.5
0.1618273375348952        0.25                     5.0E-4                   14.107732454503775       -1.593509133139143E-4    0.5
0.162141105078343         0.25                     5.0E-4                   13.970534897694165       -1.5937874162063622E-4   0.5
0.16245626686566267       0.25                     5.0E-4                   13.834123956486565       -1.593991991201521E-4    0.5
0.16277142865298233       0.25                     5.0E-4                   13.697711292918825       -1.5941965661966793E-4   0.5
0.16308799087957565       0.25                     5.0E-4                   13.562124782281217       -1.594328359221815E-4    0.5
0.16340455310616897       0.25                     5.0E-4                   13.42653663094302        -1.5944601522469503E-4   0.5
0.16372252199496723       0.25                     5.0E-4                   13.291813746789103       -1.5945201019347137E-4   0.5
0.1640404908837655        0.25                     5.0E-4                   13.157089306866965       -1.5945800516224765E-4   0.5
